id;cliente;sexo;nascimento;endereco;bairro;cidade;estado;email;telefone
872;Kasey Dickerson;m;13/11/1964;8352 E. Union St.;Dakshina Kannada;Lynchburg;RO;mwitte@yahoo.ca;(508) 737-0526
873;Muhammad Owens;m;07/12/1943;407 Dogwood Court;Udupi;Black Springs;RO;psharpe@verizon.net;(827) 424-5903
874;Rory Odonnell;f;03/08/1977;928 East Queen Lane;Yadgir;Avis;TK;nelson@sbcglobal.net;(504) 229-0610
875;Michaela Meadows;f;02/12/1998;802 Hickory Court;Davangere;Maybeury;AY;dhrakar@gmail.com;(919) 779-2115
876;Lillian Reilly;f;20/11/1972;8674 York St.;Uttara Kannada (Karwar);Avis;NR;galbra@mac.com;(698) 944-1270
877;Houston Howe;m;24/01/1986;8632 Walnut Ave.;Dharwad;Lynchburg;RO;jaarnial@sbcglobal.net;(763) 473-2792
878;Semaj Bryan;m;26/09/1982;50 Fairground Rd.;Vijayapura (Bijapur);New Eucha;AR;mddallara@verizon.net;(941) 837-2399
879;Jerry Short;m;03/08/1948;7955 Theatre St.;Bengaluru (Bangalore) Rural;New Eucha;AR;ismail@yahoo.ca;(450) 645-9756
880;Antony Mccann;m;09/06/1981;774 Fairground Dr.;Raichur;New Eucha;AR;tellis@yahoo.com;(328) 651-5657
881;Annie Vega;f;05/04/1977;24 Thatcher St.;Mandya;Avis;TK;dougj@comcast.net;(827) 707-0071
882;Milton Barker;m;10/07/1991;8867 E. Wrangler St.;Haveri;Lynchburg;RO;cisugrad@live.com;
883;Talia Castillo;f;16/05/1942;743 Rockville Road;Chitradurga;Maybeury;AY;openldap@sbcglobal.net;(289) 924-7479
884;Rhys Pratt;m;24/12/1941;9540 Trout St.;Dharwad;Lynchburg;RO;floxy@msn.com;(748) 366-7175
885;June Dawson;f;24/06/1991;403 Wilson St.;Hassan;Avis;TK;ccohen@outlook.com;(458) 350-5782
886;Braedon Hammond;m;10/04/1955;7018 E. Walnutwood St.;Ballari (Bellary);New Eucha;AR;hwestiii@yahoo.ca;
887;Morgan Boyer;f;16/05/1956;85 Woodland Road;Mandya;Avis;NR;falcao@icloud.com;(439) 851-3985
888;Jordan Hodges;m;31/10/1965;802 Bohemia Court;Bidar;New Eucha;AR;flakeg@optonline.net;(498) 743-4404
889;Cheyanne Carson;f;30/10/1959;92 Fifth Dr.;Chikkamagaluru (Chikmagalur);Maybeury;AY;heidrich@verizon.net;(385) 989-0822
890;Diamond Shea;f;18/07/1961;687 Glendale Ave.;Dharwad;Maybeury;AY;ryanvm@att.net;
891;Raphael Mercado;m;05/04/1951;7629 Adams Ave.;Tumakuru (Tumkur);New Eucha;RO;gumpish@verizon.net;
892;Oscar Mccormick;m;19/11/1968;9361 East Richardson Street;Udupi;Lynchburg;RO;granboul@yahoo.ca;(539) 290-2369
893;Casey Harrison;m;29/12/2000;98 W. Rocky River Street;Dakshina Kannada;Lynchburg;RO;yruan@icloud.com;(671) 830-4889
894;Brylee Cervantes;f;20/05/1989;69 North Lakeshore Street;Mysuru (Mysore);Maybeury;AY;vsprintf@msn.com;
895;Jaylee Gomez;f;17/07/1971;9631 Wellington St.;Gadag;Avis;TK;gboss@comcast.net;(273) 919-9240
896;Skyler Greene;m;01/07/1942;9862 Cross Ave.;Mandya;Lynchburg;RO;punkis@verizon.net;(938) 636-4989
897;Carley Valdez;f;14/01/1962;7103 Henry Smith Street;Bengaluru (Bangalore) Urban;Maybeury;AY;temmink@mac.com;
898;Dereon Maldonado;m;26/05/1961;794 Redwood Court;Vijayapura (Bijapur);Lynchburg;RO;glenz@hotmail.com;(327) 472-0628
899;Chase Sexton;m;11/07/1961;8622 Rockaway St.;Dakshina Kannada;Lynchburg;RO;benanov@icloud.com;(371) 329-8793
900;Mckenzie Valdez;f;10/07/1957;9711 Mill Pond St.;Bagalkot;Avis;TK;osrin@gmail.com;
901;Armani Hampton;m;06/03/1980;7514 Tunnel Ave.;Ballari (Bellary);New Eucha;RO;ninenine@verizon.net;(769) 871-4792
902;Ean Levine;m;30/09/1968;4 Rock Creek Ave.;Davangere;Black Springs;RO;report@aol.com;(703) 497-8880
903;Lailah Gould;f;24/08/1983;416 North Valley St.;Kolar;Maybeury;TK;munson@icloud.com;
904;Ethen Burch;m;18/06/1946;993 Winding Way Ave.;Bidar;Lynchburg;RO;jaesenj@hotmail.com;(337) 416-7066
905;Jasiah Mccormick;m;10/12/1962;7648 Pleasant Drive;Chikballapur;New Eucha;AR;mschilli@icloud.com;(798) 948-1188
906;Emilee Little;f;28/06/1977;8694 Shadow Brook Street;Dharwad;Maybeury;AY;afeldspar@me.com;(912) 376-2021
907;Destinee Joseph;f;23/03/1966;301 Tallwood Road;Kodagu;Avis;TK;padme@yahoo.com;
908;Cyrus Garcia;m;23/05/1944;64 Bellevue St.;Gadag;New Eucha;AR;joehall@live.com;
909;Roman Meyer;m;16/06/1973;235 Hudson Street;Kolar;Lynchburg;RO;hwestiii@me.com;(909) 939-5917
910;Adeline Hamilton;f;22/09/1994;401 Theatre Street;Dharwad;Avis;TK;eurohack@live.com;(405) 668-8034
911;Gerald Newton;m;04/01/1951;33 School Ave.;Ballari (Bellary);New Eucha;RO;dsowsy@gmail.com;
912;Javon Li;m;29/11/1969;14 Elizabeth St.;Bidar;Lynchburg;RO;tmccarth@yahoo.com;(691) 577-9185
913;Bo Weeks;m;16/08/1979;644 Ashley Street;Haveri;Black Springs;RO;kohlis@aol.com;
914;Sarah Travis;f;28/09/1993;9433 Madison Lane;Chikballapur;Avis;TK;timtroyr@comcast.net;
915;Annabella Mccullough;f;28/05/1970;7591 Galvin Road;Bagalkot;Avis;NR;biglou@live.com;(554) 521-0223
916;Cole West;m;05/12/1970;218 Helen Drive;Bengaluru (Bangalore) Urban;Lynchburg;RO;seurat@hotmail.com;
917;Jacquelyn Mcfarland;f;03/06/1970;7646 West Alton Street;Kalaburagi (Gulbarga);Avis;NR;sokol@yahoo.ca;(251) 397-1846
918;Mckinley Benton;f;09/06/1942;9051 Border Avenue;Bengaluru (Bangalore) Urban;Maybeury;AY;salesgeek@me.com;(818) 582-0815
919;Bryce Maddox;m;13/02/1955;39 Cobblestone Court;Shivamogga (Shimoga);New Eucha;RO;grady@optonline.net;(449) 917-3915
920;Zackary Rojas;m;26/06/1978;121 Smith Drive;Mysuru (Mysore);Lynchburg;RO;dvdotnet@icloud.com;(596) 968-6161
921;Jaycee Goodwin;f;14/03/1948;9560 Newport Court;Udupi;Avis;TK;notaprguy@sbcglobal.net;(946) 266-5021
922;Uriah Odonnell;m;15/03/1967;6 Illinois Drive;Raichur;Black Springs;RO;pemungkah@me.com;(747) 769-9577
923;Dominic Frye;m;26/10/1990;616 Pheasant Ave.;Kalaburagi (Gulbarga);Black Springs;RO;frikazoyd@hotmail.com;
924;Cordell May;m;23/09/1963;97 Edgefield Road;Gadag;Lynchburg;RO;rfisher@icloud.com;(710) 974-0766
925;Paxton Ramsey;m;07/09/1958;22 NE. Wayne Drive;Chikballapur;Lynchburg;RO;paina@yahoo.ca;
926;Annabella Ferrell;f;09/10/1983;843 Wrangler Rd.;Hassan;Maybeury;AY;jaesenj@aol.com;(776) 519-4750
927;Rhett Jensen;m;12/10/1984;404 Randall Mill Ave.;Kodagu;New Eucha;AR;world@yahoo.ca;(237) 852-7443
928;Amiya Hendrix;f;21/10/1964;514 Brook Lane;Davangere;Avis;NR;sbmrjbr@aol.com;
929;Cash Calhoun;m;03/01/1956;31 Iroquois St.;Kalaburagi (Gulbarga);Black Springs;RO;aibrahim@yahoo.com;
930;Charles Acosta;m;09/02/1965;8549 William Rd.;Shivamogga (Shimoga);Lynchburg;RO;claesjac@mac.com;(730) 469-8420
931;Kaydence Delgado;f;30/01/1987;524 San Carlos Drive;Yadgir;Maybeury;TK;sakusha@yahoo.ca;
932;Davian Duarte;m;13/04/1972;11 S. Plumb Branch St.;Haveri;Maybeury;AY;jaxweb@aol.com;
933;Lila Kennedy;f;20/07/1973;469 Cactus Dr.;Ramanagara;Avis;NR;fwiles@yahoo.com;(599) 653-7482
934;Dangelo Sheppard;m;01/10/1973;291 Lakeview St.;Haveri;Black Springs;RO;draper@optonline.net;
935;Kody Riley;m;06/01/1961;832 Livingston Rd.;Yadgir;Lynchburg;RO;dodong@outlook.com;(932) 872-9090
936;Byron Porter;m;29/09/1954;653 S. Hudson Street;Vijayapura (Bijapur);New Eucha;AR;chrwin@aol.com;
937;Alisa Knight;f;09/08/1973;25 West Pendergast Ave.;Belagavi (Belgaum);Avis;TK;sjava@live.com;(733) 956-0945
938;Audrina Chan;f;17/06/1958;313 Sunbeam Dr.;Belagavi (Belgaum);New Eucha;TK;lridener@outlook.com;
939;Jadon Ellison;m;02/12/1984;9013 N. Taylor Road;Yadgir;Lynchburg;RO;natepuri@gmail.com;(997) 284-9312
940;Kamden May;;18/01/1985;19 Pendergast Drive;Bengaluru (Bangalore) Rural;Avis;AY;dburrows@live.com;(829) 406-8484
941;Logan Shaffer;f;10/12/1951;217 Selby Drive;Ramanagara;Avis;TK;hling@hotmail.com;
942;Julissa Vincent;f;17/11/1963;9327 Manhattan Street;Hassan;Maybeury;AY;uqmcolyv@yahoo.com;(294) 539-8159
943;Jaxon Estrada;m;08/02/1986;369 Main Court;Chikkamagaluru (Chikmagalur);Black Springs;RO;preneel@hotmail.com;(415) 303-4105
944;Bernard Washington;m;13/06/1985;25 Mayfair Drive;Gadag;Black Springs;AY;aukjan@sbcglobal.net;
945;Messiah Collins;m;29/10/1990;13 Big Rock Cove Ave.;Udupi;Maybeury;AY;pjacklam@gmail.com;(586) 314-6196
946;Meadow Casey;f;21/12/1942;972 S. Tailwater St.;Ballari (Bellary);Avis;TK;mcraigw@yahoo.ca;(532) 565-7965
947;Hana Hammond;f;26/12/1962;209 Central Lane;Gadag;New Eucha;TK;symbolic@gmail.com;
948;Yaritza Pacheco;f;15/02/1996;45 Grandrose Street;Shivamogga (Shimoga);Maybeury;TK;scitext@outlook.com;(728) 883-4346
949;Madalyn Finley;f;07/09/1999;7 E. Court Rd.;Chitradurga;Avis;NR;hling@live.com;
950;Keaton Garner;m;17/06/1971;88 Front Ave.;Ramanagara;Lynchburg;RO;gerlo@hotmail.com;(232) 687-2285
951;Felipe Marshall;m;07/08/1950;462 Beach St.;Davangere;New Eucha;AR;harryh@icloud.com;(587) 804-5197
952;Cayden Preston;m;02/10/1995;48 Second Drive;Ramanagara;New Eucha;AR;thurston@aol.com;
953;Angelique Bates;f;07/11/1999;95 Sage Ave.;Ballari (Bellary);Maybeury;AY;forsberg@live.com;(893) 514-3735
954;Asia Dodson;f;04/06/1940;74 Ryan Ave.;Raichur;Avis;NR;sbmrjbr@me.com;(234) 854-3125
955;Miah Brennan;f;08/07/1989;32 Railroad Rd.;Chamarajanagar;New Eucha;TK;gomor@yahoo.com;
956;Zachariah Fields;m;31/05/1955;405 Poplar St.;Mandya;New Eucha;AR;scarolan@att.net;(591) 979-6283
957;Kailyn Burch;f;11/09/1999;920 Glenwood St.;Dakshina Kannada;Maybeury;AY;rohitm@outlook.com;(252) 852-5044
958;Caiden Harvey;m;10/07/1999;569 6th Circle;Ballari (Bellary);New Eucha;AR;matthijs@yahoo.com;(515) 643-1575
959;Eli Barrett;m;09/05/1949;74 Tanglewood St.;Bengaluru (Bangalore) Urban;Black Springs;RO;greear@optonline.net;(831) 593-9660
960;Alayna Cruz;f;31/01/1942;35 Brookside St.;Tumakuru (Tumkur);Avis;TK;isorashi@yahoo.ca;
961;Aurora Ballard;f;11/12/1962;9044 Manor Dr.;Ballari (Bellary);Maybeury;AY;heine@sbcglobal.net;(853) 529-4233
962;Delaney Montoya;f;;63 North Drive;Ramanagara;Maybeury;TK;mobileip@yahoo.ca;
963;Ronan Zavala;m;19/11/1989;7451 Marconi Drive;Udupi;New Eucha;AR;ninenine@live.com;(837) 799-6296
964;Jameson Hernandez;m;29/12/1970;1 Woodland Ave.;Chamarajanagar;Maybeury;AY;birddog@mac.com;
965;Alison Jimenez;f;12/11/1958;678 Overlook St.;Bengaluru (Bangalore) Rural;Maybeury;AY;tubesteak@optonline.net;
966;Zayden Dickson;m;13/11/1962;970 West Honey Creek St.;Mysuru (Mysore);Maybeury;AY;heidrich@aol.com;(235) 426-5628
967;Franklin Mccoy;m;21/10/1985;7739 Stonybrook St.;Mandya;New Eucha;AR;jugalator@icloud.com;(419) 837-8968
968;Tiana Villanueva;f;18/04/1995;547 SW. High Ridge Court;Mandya;Avis;NR;eimear@comcast.net;
969;Avery Strickland;;18/12/1973;23 Branch St.;Koppal;Black Springs;AY;leakin@gmail.com;(213) 244-5916
970;Macey Watts;f;04/03/1959;8991 Chapel Ave.;Dharwad;Maybeury;AY;brainless@hotmail.com;(261) 745-4242
971;Boston Rasmussen;m;17/01/1982;9 Spruce St.;Raichur;Lynchburg;RO;bradl@optonline.net;(331) 467-8366
972;London Castillo;f;24/09/1999;506 Birchwood Lane;Chikkamagaluru (Chikmagalur);Maybeury;TK;janneh@yahoo.com;
973;Eden Howell;m;09/01/1981;953 Lancaster St.;Chitradurga;Lynchburg;RO;padme@yahoo.com;(299) 977-6917
974;Heath Beard;m;23/07/1976;273 Manor Street;Mysuru (Mysore);Lynchburg;RO;osaru@att.net;(713) 612-5898
975;Larissa Huynh;f;15/10/1978;657 Rock Maple Ave.;Kalaburagi (Gulbarga);Maybeury;AY;pgolle@optonline.net;
976;Memphis Martinez;m;02/09/1994;488 Glenwood Drive;Gadag;Black Springs;RO;jfmulder@yahoo.ca;(785) 418-3819
977;Blaine Stanley;m;20/06/1947;420 South Halifax Lane;Dharwad;Black Springs;RO;psharpe@mac.com;
978;Micah Lawson;f;20/10/1950;9364 West Bellevue St.;Mysuru (Mysore);Avis;TK;privcan@sbcglobal.net;(269) 350-2491
979;Ahmad Tanner;m;03/10/1975;651 Washington Ave.;Uttara Kannada (Karwar);New Eucha;AR;squirrel@live.com;
980;Aracely Padilla;f;19/01/1977;8312 Westport Court;Chikkamagaluru (Chikmagalur);Lynchburg;NR;epeeist@aol.com;(492) 235-2294
981;Marco Owen;m;26/05/1998;745 Hawthorne Drive;Shivamogga (Shimoga);New Eucha;AR;webdragon@mac.com;(462) 631-2933
982;Nathan Key;m;10/10/1998;10 Pineknoll Dr.;Chikballapur;Maybeury;AY;dvdotnet@me.com;
983;Stephen Davenport;;15/07/1956;672 Trenton Street;Dharwad;Black Springs;RO;singh@sbcglobal.net;
984;Kylie Graham;f;07/10/1981;8481 Wilson St.;Uttara Kannada (Karwar);Maybeury;AY;mhanoh@comcast.net;(960) 423-6499
985;Cindy Velazquez;f;22/10/1988;556 NW. Tarkiln Hill St.;Bengaluru (Bangalore) Rural;Maybeury;TK;choset@comcast.net;
986;Jaden Spencer;m;12/07/1958;66 Madison Court;Bengaluru (Bangalore) Rural;Black Springs;RO;mcast@outlook.com;
987;George Brandt;m;09/08/1981;58 Locust Dr.;Chikballapur;Black Springs;RO;jaesenj@yahoo.com;(668) 779-5670
988;Konner Lynch;m;29/03/1958;9324 Birch Hill Rd.;Chitradurga;Lynchburg;RO;gbacon@yahoo.ca;(727) 978-0118
989;Saniyah Rice;f;19/02/1943;8317 West Wayne St.;Kolar;Maybeury;AY;jmcnamara@comcast.net;(887) 601-1814
990;Sharon Rose;f;11/07/1982;7 West Logan Road;Dakshina Kannada;Maybeury;AY;bjoern@me.com;
991;Duncan Suarez;m;21/09/1945;7656 Marsh Dr.;Bagalkot;New Eucha;RO;akoblin@comcast.net;(528) 831-5364
992;Israel Kirby;m;17/02/1967;260 Homestead Drive;Dakshina Kannada;Lynchburg;RO;lahvak@verizon.net;
993;Kendrick Harrington;;30/05/1961;281 Edgewater Street;Bidar;Black Springs;AY;fraterk@att.net;
994;Coby Olson;m;31/07/1968;6 Lafayette St.;Ramanagara;Black Springs;RO;garland@optonline.net;(810) 539-8442
995;Amari Bailey;m;14/12/1993;53 West Airport Road;Shivamogga (Shimoga);Black Springs;RO;zavadsky@gmail.com;
996;Rory Collins;m;04/07/1958;97 Myrtle Ave.;Mandya;Maybeury;AY;johnh@comcast.net;(635) 812-6358
997;Hailee Price;f;30/10/1962;38 Lawrence St.;Shivamogga (Shimoga);Avis;TK;citadel@mac.com;(839) 273-4254
998;Ivan Warren;m;01/09/1946;282 Cedar Swamp Avenue;Bengaluru (Bangalore) Rural;Lynchburg;RO;gboss@icloud.com;
999;Raphael Roman;m;07/03/1969;158 South Silver Spear Ave.;Ballari (Bellary);Maybeury;AY;satch@yahoo.ca;
1000;Keyon Pierce;m;25/07/1989;9538 South Taylor Ave.;Davangere;Lynchburg;RO;empathy@yahoo.ca;(460) 862-0710
1001;Adrienne Marquez;f;25/01/1946;54 East Studebaker St.;Dharwad;Avis;NR;demmel@sbcglobal.net;
1002;Talia Flowers;f;15/01/1989;455 Bay St.;Ballari (Bellary);Avis;NR;fraser@hotmail.com;
1003;Anabelle Morris;f;23/08/1944;44 Homewood Lane;Hassan;Maybeury;TK;quinn@att.net;
1004;Ali York;f;24/12/1975;41 Summit St.;Kolar;Avis;TK;tangsh@gmail.com;
1005;Karley Trujillo;f;04/09/1969;60 Monroe Rd.;Hassan;Avis;NR;killmenow@yahoo.com;
1006;Misael Perkins;m;11/01/1954;319 North Oxford Court;Raichur;New Eucha;RO;;
1007;Stephanie Herring;f;22/05/1984;851 Smith Court;Raichur;Avis;NR;cliffordj@outlook.com;(733) 581-5106
1008;Brady Silva;m;15/11/1983;94 Randall Mill St.;Chitradurga;Lynchburg;RO;chaikin@hotmail.com;(994) 216-2158
1009;Judah Sawyer;m;22/11/2001;7692 Trusel St.;Dharwad;New Eucha;AR;seanq@yahoo.ca;(249) 532-2334
1010;Tate Norris;m;13/02/1971;8538 Marsh Drive;Mysuru (Mysore);Lynchburg;RO;cvrcek@sbcglobal.net;(215) 556-5173
1011;Kamari Petty;m;27/05/2001;9328 North Coffee Drive;Dakshina Kannada;Lynchburg;RO;sblack@live.com;(581) 225-9526
1012;Darnell Ross;m;19/05/1965;539 Sulphur Springs Court;Chamarajanagar;New Eucha;AR;yangyan@outlook.com;
1013;Aracely Espinoza;f;03/09/1988;8450 Lantern St.;Koppal;Maybeury;AY;pedwards@aol.com;(486) 631-6718
1014;Diana Forbes;f;19/01/1997;753 Bridgeton Dr.;Chamarajanagar;Maybeury;AY;zwood@gmail.com;(944) 666-9037
1015;Kole Sherman;m;28/10/1989;7370 South Hill Street;Koppal;Black Springs;RO;rasca@att.net;
1016;Kamryn Zimmerman;f;12/07/1956;675 Albany Ave.;Bagalkot;Maybeury;AY;kosact@msn.com;
1017;Piper Marsh;f;09/01/1978;190 Linda Street;Mandya;New Eucha;TK;sagal@mac.com;(375) 685-8609
1018;Braelyn Preston;f;15/01/1989;522 Marconi Lane;Shivamogga (Shimoga);Avis;NR;seano@live.com;
1019;Patrick Hays;m;12/01/1978;34 Birchpond St.;Dakshina Kannada;Black Springs;RO;magusnet@comcast.net;
1020;Cali Franklin;f;30/11/1954;59 Bayport Drive;Chamarajanagar;Maybeury;TK;drolsky@gmail.com;
1021;Destinee Saunders;f;06/02/1958;8192 Studebaker Court;Haveri;Lynchburg;NR;jfreedma@yahoo.com;(205) 572-6191
1022;Ignacio Vazquez;m;18/02/1977;654 W. Foxrun Street;Yadgir;New Eucha;AR;sonnen@verizon.net;
1023;Cora Herman;f;11/06/1946;4 Tarkiln Hill St.;Tumakuru (Tumkur);Maybeury;TK;gospodin@outlook.com;(805) 340-1538
1024;Gwendolyn Booker;f;01/11/1944;7076 SW. Bradford St.;Udupi;Maybeury;AY;srour@yahoo.com;
1025;Kade Davidson;m;08/08/1976;547 Pawnee Lane;Haveri;New Eucha;AR;hermanab@att.net;
1026;Adelaide Hayes;f;20/06/1954;690 Hudson Court;Bagalkot;Avis;NR;jsnover@mac.com;
1027;Emerson Lamb;f;02/05/1961;868 Cedar Rd.;Yadgir;Avis;NR;camenisch@yahoo.com;(366) 212-3092
1028;Ramiro White;;20/10/1952;8687 Shadow Brook Drive;Ramanagara;Lynchburg;RO;ivoibs@gmail.com;(725) 595-5598
1029;Amare Dominguez;m;01/01/1994;698 Windfall Dr.;Gadag;New Eucha;AR;jimmichie@yahoo.ca;
1030;Adolfo Henderson;m;31/05/1998;50C N. Kent Street;Chikballapur;New Eucha;AR;wetter@me.com;
1031;Dennis Cummings;m;01/02/1988;41 Miller Street;Tumakuru (Tumkur);New Eucha;AR;josem@msn.com;
1032;Jakayla Gutierrez;;15/07/1979;400 W. Country Ave.;Dakshina Kannada;Avis;TK;chance@gmail.com;(381) 932-1931
1033;Valeria Anthony;f;23/06/1989;8792 Pine Ave.;Shivamogga (Shimoga);Avis;NR;keutzer@comcast.net;(785) 929-2444
1034;Genevieve Alvarado;f;15/07/1970;56 Fifth Ave.;Chikballapur;Maybeury;TK;yamla@comcast.net;
1035;Gary Mack;m;07/07/1968;7859 West Bridle St.;Davangere;Lynchburg;RO;grolschie@me.com;(310) 219-6430
1036;Marquis Porter;m;25/02/1958;13 St Margarets Street;Bagalkot;Maybeury;AY;gordonjcp@verizon.net;
1037;Destiny Medina;f;22/01/1988;688 Crescent Dr.;Udupi;Avis;NR;hager@comcast.net;
1038;Kali Bullock;f;08/12/1973;9264 Hilldale Lane;Tumakuru (Tumkur);Maybeury;AY;hampton@comcast.net;(533) 250-6648
1039;Madison Chan;f;03/04/1958;823 Temple Ave.;Tumakuru (Tumkur);Maybeury;AY;geeber@yahoo.com;(762) 250-2005
1040;Carl Mercado;m;02/04/1949;7878 Swanson St.;Hassan;Lynchburg;RO;arathi@hotmail.com;(842) 655-6084
1041;Sage Friedman;f;27/07/1992;579 Border St.;Dharwad;Avis;NR;trieuvan@outlook.com;(251) 619-8990
1042;Seamus Everett;m;04/11/1956;9856 Arrowhead St.;Kolar;Lynchburg;RO;portele@hotmail.com;(280) 378-3129
1043;Frida Simpson;f;14/10/1958;7754 Roehampton Ave.;Kalaburagi (Gulbarga);Maybeury;AY;naupa@sbcglobal.net;(683) 718-7037
1044;Natasha Russo;f;17/10/1978;29 1st St.;Gadag;Avis;TK;dinther@me.com;
1045;Abram Downs;m;28/02/1943;984 Riverview Court;Haveri;Lynchburg;RO;trygstad@sbcglobal.net;(539) 241-3381
1046;Colten Mcneil;m;10/10/1982;902 Green Lake St.;Belagavi (Belgaum);Lynchburg;RO;pmint@yahoo.com;(260) 457-7582
1047;Jace Simpson;m;17/05/1947;8326 Country Dr.;Dakshina Kannada;Avis;AR;claypool@comcast.net;(238) 632-2803
1048;Cassidy Pope;f;24/03/1988;9487 Deerfield Ave.;Udupi;Maybeury;AY;jespley@outlook.com;(786) 304-1798
1049;Amiyah Hubbard;f;15/01/2001;60 Linden Dr.;Uttara Kannada (Karwar);Maybeury;TK;ehood@yahoo.ca;
1050;Veronica Briggs;f;28/02/1945;726 Canterbury Street;Koppal;Avis;NR;rafasgj@yahoo.com;
1051;Nolan Hurley;m;24/10/1950;194 Vernon St.;Chitradurga;Avis;AY;jsbach@sbcglobal.net;
1052;Darwin Fuentes;m;11/09/1956;77 Fairfield St.;Chikkamagaluru (Chikmagalur);New Eucha;RO;;(337) 426-5091
1053;Katelyn Moore;f;08/04/1975;383 Glenwood Rd.;Uttara Kannada (Karwar);Avis;TK;bester@mac.com;(435) 753-2555
1054;Drew Hendricks;m;27/07/1991;494 Pin Oak Lane;Chitradurga;New Eucha;AR;kjohnson@aol.com;(367) 703-2820
1055;Bridger Bowers;m;04/06/1999;7 Hanover Lane;Kolar;New Eucha;AR;grossman@verizon.net;
1056;Tessa Gibson;f;23/11/1975;64 Tallwood Lane;Haveri;Avis;NR;stomv@icloud.com;
1057;Leah Keith;f;08/07/1956;799 N. Studebaker Ave.;Raichur;Lynchburg;NR;amichalo@aol.com;(599) 458-3844
1058;Virginia Gates;f;21/08/1947;9281 San Carlos Ave.;Ballari (Bellary);Avis;TK;syrinx@yahoo.ca;(431) 672-2321
1059;Patience Watts;f;06/02/1980;9 South Sage Street;Mandya;Avis;NR;jemarch@gmail.com;(999) 272-6698
1060;Jamya Logan;f;08/03/1995;7213 Blackburn Street;Tumakuru (Tumkur);Maybeury;AY;wayward@gmail.com;
1061;Mariana Ali;f;09/11/1989;63 S. Lake Forest Avenue;Chitradurga;Avis;NR;yenya@comcast.net;
1062;Lindsey Benjamin;f;09/01/1951;5 Thorne St.;Raichur;Maybeury;TK;singh@msn.com;(783) 310-8379
1063;Mekhi Ramos;m;13/12/1966;15 Holly St.;Shivamogga (Shimoga);Maybeury;AY;pajas@yahoo.ca;(943) 376-0839
1064;Bennett Molina;m;25/03/1959;7362 Somerset Court;Kodagu;Black Springs;RO;donev@me.com;
1065;Simone Christian;f;26/06/1966;30 S. County Lane;Gadag;Avis;TK;noticias@aol.com;
1066;Sandra Stout;f;12/04/1974;29 East Olive Drive;Kodagu;New Eucha;TK;juliano@att.net;(901) 837-5928
1067;Karson Wilkins;m;08/03/1951;183 Del Monte St.;Yadgir;Avis;AY;drolsky@comcast.net;(625) 200-2098
1068;Jalen Yu;m;09/12/1993;35 Baker St.;Kolar;New Eucha;RO;shrapnull@sbcglobal.net;
1069;Liberty Barton;f;28/06/1995;988 South Nicolls Dr.;Vijayapura (Bijapur);Avis;TK;mavilar@aol.com;(414) 885-0935
1070;Stephany Dennis;f;24/03/1944;829 Bayport Lane;Bidar;Maybeury;AY;lahvak@gmail.com;(709) 599-5548
1071;Darrell Ellison;m;02/08/1947;7408 Fulton Rd.;Chamarajanagar;New Eucha;RO;djupedal@sbcglobal.net;(452) 754-5407
1072;Isabella Christensen;f;19/12/1948;1 Warren St.;Dharwad;Avis;TK;scitext@outlook.com;
1073;Jenna Poole;f;19/07/1978;9 Alton Dr.;Davangere;Avis;NR;rjones@live.com;(583) 786-9385
1074;Marlene Davila;f;16/06/1953;77 Warren Dr.;Davangere;Maybeury;AY;makarow@gmail.com;(491) 936-1433
1075;Aurora Rogers;f;25/08/1951;9344 Delaware Street;Haveri;Avis;TK;;(605) 349-8883
1076;Trevon Schroeder;m;09/12/1986;168 Center Court;Chitradurga;Lynchburg;RO;sopwith@comcast.net;
1077;Krista Benson;f;04/08/1947;270 Henry Smith Court;Uttara Kannada (Karwar);New Eucha;TK;yenya@yahoo.ca;(999) 616-9705
1078;Sage Norman;f;22/06/1993;792 Kent Ave.;Dakshina Kannada;Lynchburg;NR;jimxugle@yahoo.com;(974) 387-3210
1079;Cesar Kaiser;m;03/04/1959;8264 Prince Drive;Dharwad;Lynchburg;RO;mleary@icloud.com;
1080;Marquis Moss;m;29/08/1974;7288 E. Poor House Dr.;Shivamogga (Shimoga);Black Springs;RO;mhassel@gmail.com;
1081;Hadassah Holden;f;22/08/1951;94 Tunnel St.;Uttara Kannada (Karwar);Avis;TK;metzzo@att.net;(234) 571-3281
1082;Stephanie Winters;f;16/02/1978;7638 Rosewood Ave.;Dharwad;Avis;NR;ilyaz@yahoo.ca;(362) 231-6715
1083;Jayvion Ford;m;07/09/1971;68 Plumb Branch Ave.;Shivamogga (Shimoga);New Eucha;AR;flakeg@aol.com;
1084;Jessie Erickson;m;02/04/1981;252 E. Jennings Street;Bagalkot;Lynchburg;RO;cumarana@yahoo.ca;(686) 784-8668
1085;Steven Vaughn;m;11/04/1956;8192 Pulaski St.;Belagavi (Belgaum);Lynchburg;RO;gtaylor@att.net;(632) 460-0735
1086;Rory Werner;m;23/10/1974;40 Pleasant Court;Hassan;New Eucha;AR;mailarc@yahoo.com;
1087;Donna Barr;f;10/04/1959;61 Magnolia Lane;Ramanagara;Avis;NR;giafly@optonline.net;
1088;Miguel Meyers;m;22/03/1998;18 Ridgewood Court;Uttara Kannada (Karwar);Avis;AY;zyghom@verizon.net;(360) 422-2322
